Rid,Age,Sex,AEQ_PC1,AEQ_Sum
R0005,25,2,-1.307094742750485,5
R0019,23,2,-0.7049642534223017,6
R0062,25,2,5.381380267497298,21
R0063,28,1,-1.9753110108873282,1
R0064,27,2,2.585847481671119,13
R0066,24,1,-0.6186278861344692,5
R0067,23,1,-1.9753110108873282,1
R0068,26,2,-2.386442290733733,1
R0070,27,2,7.87278423673963,26
R0072,24,2,-1.6881915597228143,3
R0073,28,2,0.25390053682657304,8
R0074,24,2,-1.437202226889949,2
R0075,25,2,-0.2842082471708064,7
R0076,22,2,-0.015212355984549758,9
R0077,23,2,2.5837782904867463,15
R0079,24,2,1.3505049497058166,9
R0081,23,1,2.0320671824131433,13
R0082,20,2,3.650118002596287,15
R0083,21,1,-1.942900204217094,3
R0084,19,2,-0.17083114059207574,5
R0085,23,1,2.1749103852735447,10
R0086,24,2,-1.0631462902316198,5
R0087,24,2,-0.7277503336874452,5
R0089,24,1,-2.5450078019607774,0
R0090,20,2,1.05022414468125,7
R0091,23,2,-2.1242517957092817,1
R0092,19,1,-1.1485063399389408,4
R0093,23,2,-0.5788095488654919,5
R0094,21,1,-2.1242517957092817,1
R0095,19,2,0.14945275343500156,7
R0097,24,1,-1.437202226889949,2
R0098,20,2,-0.3760967214122868,6
R0099,23,1,-2.1242517957092817,1
R0100,21,1,-0.32939665181912026,4
